Security,Symbol
Alexandria Real Estate Equities,ARE
American Tower,AMT
AvalonBay Communities,AVB
Boston Properties,BXP
Camden Property Trust,CPT
CBRE Group,CBRE
Crown Castle,CCI
Digital Realty,DLR
Equinix,EQIX
Equity Residential,EQR
Essex Property Trust,ESS
Extra Space Storage,EXR
Federal Realty,FRT
Healthpeak,PEAK
Host Hotels & Resorts,HST
Invitation Homes,INVH
Iron Mountain,IRM
Kimco Realty,KIM
Mid-America Apartment Communities,MAA
Prologis,PLD
Public Storage,PSA
Realty Income,O
Regency Centers,REG
SBA Communications,SBAC
Simon Property Group,SPG
"UDR, Inc.",UDR
Ventas,VTR
Vici Properties,VICI
Welltower,WELL
Weyerhaeuser,WY
