Security,Symbol
Activision Blizzard,ATVI
Alphabet Inc. (Class A),GOOGL
Alphabet Inc. (Class C),GOOG
AT&T,T
Charter Communications,CHTR
Comcast,CMCSA
Disney,DIS
Electronic Arts,EA
Fox Corporation (Class A),FOXA
Fox Corporation (Class B),FOX
Interpublic Group of Companies (The),IPG
Live Nation Entertainment,LYV
Match Group,MTCH
Meta Platforms,META
Netflix,NFLX
News Corp (Class A),NWSA
News Corp (Class B),NWS
Omnicom Group,OMC
Paramount Global,PARA
T-Mobile US,TMUS
Take-Two Interactive,TTWO
Verizon,VZ
Warner Bros. Discovery,WBD
