Security,Symbol
ADM,ADM
Altria,MO
Brown-Forman,BF.B
Bunge Limited,BG
Campbell Soup Company,CPB
Church & Dwight,CHD
Clorox,CLX
Coca-Cola Company (The),KO
Colgate-Palmolive,CL
Conagra Brands,CAG
Constellation Brands,STZ
Costco,COST
Dollar General,DG
Dollar Tree,DLTR
Estée Lauder Companies (The),EL
General Mills,GIS
Hershey's,HSY
Hormel Foods,HRL
Kellogg's,K
Keurig Dr Pepper,KDP
Kimberly-Clark,KMB
Kraft Heinz,KHC
Kroger,KR
Lamb Weston,LW
McCormick & Company,MKC
Molson Coors Beverage Company,TAP
Mondelez International,MDLZ
Monster Beverage,MNST
PepsiCo,PEP
Philip Morris International,PM
Procter & Gamble,PG
J.M. Smucker Company (The),SJM
Sysco,SYY
Target Corporation,TGT
Tyson Foods,TSN
Walgreens Boots Alliance,WBA
Walmart,WMT
